category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,100,524558000,2014
総務費,2,総務管理費,101,4896947000,2014
総務費,2,徴税費,102,457769000,2014
総務費,2,戸籍住民基本台帳費,103,113187000,2014
総務費,2,選挙費,104,124773000,2014
総務費,2,統計調査費,105,52355000,2014
総務費,2,監査委員費,106,19383000,2014
民生費,3,社会福祉費,107,28759300000,2014
民生費,3,児童福祉費,108,16015299000,2014
民生費,3,生活保護費,109,21671531000,2014
民生費,3,災害救助費,110,1000,2014
衛生費,4,保健衛生費,111,2767717000,2014
衛生費,4,清掃費,112,3827908000,2014
衛生費,4,上水道費,113,619761000,2014
衛生費,4,下水道費,114,1371171000,2014
衛生費,4,病院費,115,1403521000,2014
労働費,5,労働費,116,140056000,2014
農林水産業費,6,農業費,117,1266588000,2014
農林水産業費,6,林業費,118,159100000,2014
商工費,7,商工費,119,8634745000,2014
土木費,8,土木管理費,120,620231000,2014
土木費,8,道路橋りょう費,121,8733416000,2014
土木費,8,河川費,122,130000000,2014
土木費,8,空港費,123,1123487000,2014
土木費,8,都市計画費,124,3555713000,2014
土木費,8,住宅費,125,1006613000,2014
消防費,9,消防費,126,715917000,2014
教育費,10,教育総務費,127,85955000,2014
教育費,10,小学校費,128,3571519000,2014
教育費,10,中学校費,129,3392582000,2014
教育費,10,幼稚園費,130,450107000,2014
教育費,10,高等学校費,131,2539000,2014
教育費,10,社会教育費,132,1479665000,2014
教育費,10,保健体育費,133,1227948000,2014
教育費,10,私立学校等振興費,134,26805000,2014
災害復旧費,11,土木施設災害復旧費,135,1200000,2014
公債費,12,公債費,136,18330633000,2014
職員費,13,職員費,137,18870000000,2014
予備費,14,予備費,138,50000000,2014
